OBJECTID_12,WellNo,WellType,District,taluk,Block,Village,Latitude,Longitude,Date,NO2+NO3,Ca,Mg,Na,K,Cl,SO4,CO3,HCO3,F,pH,EC,TH,Season,Basin,SubBasin
1,43003,Dug Well,Thanjavur,Thiruvaiyaru,Thiruvaiyaru,Thiruvaiyaru,10.88111111,79.10833333,01-01-1972,14,88,38,128,94,241,40,0,396,,,1610,375,Pre monsoon,Cauvery, Cauvery Delta
2,43015A,Dug Well,Nagapattinam,Sirkazhi,Sirkazhi,CAUVERIPOOMPATTINAM,11.14444444,79.845,01-01-1972,,48,19,55,3,39,20,0,275,,,580,200,Pre monsoon,Cauvery, Cauvery Delta
3,43016,Dug Well,Nagapattinam,Mayiladuthurai,Tharangambadi,Akkur,11.09888889,79.79305556,01-01-1972,,62,11,120,16,142,35,12,275,,,1060,200,Pre monsoon,Cauvery, Cauvery Delta
4,43017,Dug Well,Nagapattinam,Tharangambadi,Tharangambadi,Tharangambadi,11.02388889,79.85722222,01-01-1972,,24,61,339,103,320,79,42,702,,8.3,2440,310,Pre monsoon,Cauvery, Cauvery Delta
5,43019,Dug Well,Tiruvarur,Nannilam,Nannilam,Nannilam,10.88333333,79.61277778,01-01-1972,,60,17,87,10,124,35,0,275,,,1000,220,Pre monsoon,Cauvery, Cauvery Delta
6,43024,Dug Well,Nagapattinam,Vedaranyam,Vedaranyam,Voimedu,10.40972222,79.64444444,01-01-1972,,56,11,48,8,28,14,12,256,,,556,185,Pre monsoon,Cauvery, Cauvery Delta
7,43031,Dug Well,Nagapattinam,Sirkazhi,Sirkazhi,Sirkazhi,11.23888889,79.73888889,01-01-1972,,36,39,147,4,156,38,30,336,,8.6,1280,250,Pre monsoon,Cauvery, Cauvery Delta
8,43033,Dug Well,Thanjavur,Kumbakonam,Thirupanandal,Loweranaicut,11.13333333,79.45555556,01-01-1972,,46,11,74,4,53,29,36,201,,8.6,667,160,Pre monsoon,Cauvery, Cauvery Delta
9,43035,Dug Well,Thanjavur,Papanasam,Ammapettai,Ammapettai,10.79166667,79.32111111,01-01-1972,,48,10,163,12,323,58,12,24,,8.4,1330,160,Pre monsoon,Cauvery, Cauvery Delta
10,43037,Dug Well,Nagapattinam,Nagapattinam,Nagapattinam,Nagapattinam,10.77111111,79.84722222,01-01-1972,,36,27,173,68,192,43,36,336,,8.6,1390,200,Pre monsoon,Cauvery, Cauvery Delta
11,43041,Dug Well,Tiruvarur,Thiruthuraipoondi,Muthupettai,Muthupettai,10.4,79.5,01-01-1972,,58,23,179,4,202,38,24,342,,8.2,1220,240,Pre monsoon,Cauvery, Cauvery Delta
12,43047,Dug Well,Thanjavur,Papanasam,Papanasam,Papanasam,10.925,79.275,01-01-1972,,44,54,437,70,341,92,90,735,,8.5,2890,330,Pre monsoon,Cauvery, Cauvery Delta
13,43048,Dug Well,Nagapattinam,Kuttalam,Kuttalam,Kuttalam,11.075,79.5,01-01-1972,,26,16,874,61,85,26,36,232,,,334,130,Pre monsoon,Cauvery, Cauvery Delta
14,43051,Dug Well,Nagapattinam,Vedaranyam,Vedaranyam,Vedaranyam,10.37222222,79.85277778,01-01-1972,,48,10,69,29,92,23,6,220,,8.2,645,160,Pre monsoon,Cauvery, Cauvery Delta
15,43061,Dug Well,Thanjavur,Papanasam,Papanasam,Thirukarugavur,10.86805556,79.275,01-01-1972,,200,37,368,8,799,67,36,268,,8.4,3550,650,Pre monsoon,Cauvery, Cauvery Delta
16,43062,Dug Well,Thanjavur,Kumbakonam,Thiruvidaimarudhur,Thippirajapuram,10.90833333,79.40277778,01-01-1972,15,80,37,133,82,255,33,42,275,,8.5,1500,350,Pre monsoon,Cauvery, Cauvery Delta
17,43064,Dug Well,Tiruvarur,Nannilam,Nannilam,Thirupugalur,10.88055556,79.70277778,01-01-1972,,50,55,598,132,728,122,78,665,,8.5,3770,350,Pre monsoon,Cauvery, Cauvery Delta
18,43069,Dug Well,Thanjavur,Orathanadu,Orathanadu,Orathanadu,10.62916667,79.25416667,01-01-1972,,48,18,98,43,163,22,24,183,,8.3,1170,195,Pre monsoon,Cauvery, Cauvery Delta
19,43071,Dug Well,Tiruvarur,Mannargudi,Mannargudi,Mahadevapattinam,10.59888889,79.40555556,01-01-1972,,34,9,31,6,13,25,12,153,,8.3,360,120,Pre monsoon,Cauvery, Cauvery Delta
20,43076,Dug Well,Thanjavur,Thanjavur,Thanjavur,Marungulam,10.67166667,79.13944444,01-01-1972,,88,7,14,1,142,6,6,110,,8.1,610,250,Pre monsoon,Agniyar, Agniyar
21,43050,Dug Well,Nagapattinam,Vedaranyam,Vedaranyam,Manakkudi,10.57694444,79.75,01-01-1972,,36,11,161,13,160,28,24,275,,8.6,1000,135,Pre monsoon,Cauvery, Cauvery Delta
22,43010A,Dug Well,Thanjavur,Kumbakonam,Kumbakonam,Kumbakonam,10.95833333,79.37416667,01-01-1972,,26,17,67,10,75,17,30,128,,8.4,724,135,Pre monsoon,Cauvery, Cauvery Delta
23,43042A,Dug Well,Thanjavur,Pattukkottai,Peravurani,Adirampattinam,10.34305556,79.38611111,01-01-1972,0,30,13,30,4,18,14,12,171,,8.6,367,130,Pre monsoon,Agniyar, Agniyar
24,43001,Dug Well,Thanjavur,Thanjavur,Thanjavur,Thanjavur,10.77555556,79.14666667,01-01-1972,0,62,22,131,8,146,58,0,354,,,1170,245,Pre monsoon,Cauvery, Cauvery Delta
25,43009,Dug Well,Thanjavur,Thanjavur,Budalur,Vallam,10.71833333,79.06111111,01-01-1972,0,28,12,55,45,78,13,0,183,,,600,120,Pre monsoon,Cauvery, Cauvery Delta
26,43032,Dug Well,Nagapattinam,Sirkazhi,Sirkazhi,Thirumullaivasal,11.24555556,79.84666667,01-01-1972,0,36,20,44,4,32,14,30,189,,,478,170,Pre monsoon,Cauvery, Cauvery Delta
27,43065,Dug Well,Thanjavur,Thanjavur,Thanjavur,Puthur,10.72638889,79.19722222,01-01-1972,0,38,9,92,17,124,19,18,153,,8.4,725,130,Pre monsoon,Agniyar, Agniyar
28,43049,Dug Well,Nagapattinam,Nagapattinam,Thirumarugal,Thirumarugal,10.88333333,79.75833333,01-01-1972,4.6,70,85,552,156,923,199,30,445,,8.2,4000,525,Pre monsoon,Cauvery, Cauvery Delta
29,43054,Dug Well,Nagapattinam,Mayiladuthurai,Mayiladuthurai,Manalmedu,11.19555556,79.59694444,01-01-1972,0,88,81,345,35,469,85,54,598,,8.4,2660,555,Pre monsoon,Cauvery, Cauvery Delta
30,43068,Dug Well,Nagapattinam,Nagapattinam,Keevalur,Thevur,10.72222222,79.73666667,01-01-1972,26.91,40,43,415,374,654,72,90,555,,8.6,3550,275,Pre monsoon,Cauvery, Cauvery Delta
31,43034,Dug Well,Pudukkottai,Kulathur,Kunnandarkoil,Keeranur,10.57083333,78.79166667,01-06-1972,,44,18,41,43,64,17,36,220,,7.3,730,185,Pre monsoon,Agniyar, Agniyar
32,43045,Dug Well,Pudukkottai,Aranthangi,Aranthangi,Nagaram,10.17222222,79,01-06-1972,7,156,41,460,3,873,83,24,213,,8.4,3220,560,Pre monsoon,Agniyar, South Vellar
33,43078,Dug Well,Pudukkottai,Pudukkottai,Pudukkottai,Adanakkottai,10.51944444,78.95833333,01-06-1972,,6,1,7,1,10,5,0,24,,6.6,100,20,Pre monsoon,Agniyar, Agniyar
34,43079,Dug Well,Pudukkottai,Pudukkottai,Pudukkottai,Ganapathipuram,10.53,79.02222222,01-06-1972,,46,6,27,31,68,15,12,134,,8.4,500,140,Pre monsoon,Agniyar, Agniyar
35,43081,Dug Well,Pudukkottai,Pudukkottai,Pudukkottai,Vellayakkonpatti,10.41944444,78.86944444,01-06-1972,,24,16,101,8,75,21,30,207,,8.5,730,125,Pre monsoon,Agniyar, Agniyar
36,43082,Dug Well,Pudukkottai,Pudukkottai,Pudukkottai,Semmattividudi,10.43,78.97222222,01-06-1972,,46,1,13,2,21,7,6,122,,8.4,320,120,Pre monsoon,Agniyar, Agniyar
37,43086,Dug Well,Pudukkottai,Aranthangi,Aranthangi,Nagudi,10.15305556,79.10972222,01-06-1972,,301,71,173,29,916,9,36,122,,8.3,2780,1045,Pre monsoon,Agniyar, Ambuliyar
38,43089,Dug Well,Pudukkottai,Avudayarkoil,Avudayarkoil,Avudayarkoil,10.06666667,79.04166667,01-06-1972,,96,32,219,117,433,46,60,268,,8.3,2000,370,Pre monsoon,Pambar Kottakaraiyar, Pambar
39,43090,Dug Well,Pudukkottai,Avudayarkoil,Avudayarkoil,Okkur,10.03333333,79.01666667,01-06-1972,,12,22,380,65,561,61,36,110,,8.5,2000,120,Pre monsoon,Pambar Kottakaraiyar, Pambar
40,73002,Dug Well,Perambalur,Veppanthattai,Veppanthattai,Pasumbalur,11.425,78.89166667,01-06-1972,,136,90,198,227,541,106,0,421,,7.7,2760,710,Pre monsoon,Vellar, Upper Vellar
41,73006,Dug Well,Perambalur,Veppanthattai,Veppanthattai,Vengalam,11.34166667,78.78333333,01-06-1972,,67,86,74,0,241,34,0,427,,7.9,1330,520,Pre monsoon,Vellar, Swethanadhi
42,73008,Dug Well,Perambalur,Veppanthattai,Veppanthattai,Eraiyoor,11.35833333,78.98333333,01-06-1972,,70,42,48,31,110,26,0,397,,7.8,890,350,Pre monsoon,Vellar, Chinnar
43,73010,Dug Well,Perambalur,Kunnam,Veppur,Viramanallur,11.34166667,79.1375,01-06-1972,,29,23,101,2,64,41,0,378,,7.9,710,165,Pre monsoon,Vellar, Chinnar
44,73013,Dug Well,Ariyalur,Udayarpalayam,Andimadam,Varadharajanpettai,11.34583333,79.42083333,01-06-1972,,30,9,23,2,67,0,0,85,,6.8,330,110,Pre monsoon,Vellar, Lower Vellar
45,73014,Dug Well,Thiruchirapalli,Turaiyur,Uppliyapuram,Kallatukombai,11.27222222,78.44583333,01-06-1972,,43,11,14,14,30,0,0,195,,8,310,155,Pre monsoon,Cauvery, Ayiaar
46,73016,Dug Well,Perambalur,Perambalur,Perambalur,Tiruppayyarnattam,11.25833333,78.80138889,01-06-1972,,82,31,28,8,106,19,0,299,,7.8,740,330,Pre monsoon,Vellar, Chinnar
47,73017,Dug Well,Perambalur,Perambalur,Perambalur,Elambalur,11.26666667,78.88333333,01-06-1972,,131,40,83,47,252,58,0,323,,7.6,1580,490,Pre monsoon,Vellar, Chinnar
48,73018,Dug Well,Perambalur,Kunnam,Veppur,Chittali,11.25277778,78.97916667,01-06-1972,,114,47,147,4,202,120,0,519,,7.7,1520,480,Pre monsoon,Vellar, Chinnar
49,73019,Dug Well,Perambalur,Kunnam,Veppur,Puduvettakudi,11.25833333,79.08333333,01-06-1972,,192,88,184,45,458,139,0,470,,7.5,2550,840,Pre monsoon,Vellar, Anaivari Odai
50,73020,Dug Well,Ariyalur,Senthurai,Senthurai,Senthurai,11.25138889,79.17916667,01-06-1972,,86,32,147,25,241,48,0,439,,7.4,1330,345,Pre monsoon,Vellar, Anaivari Odai
51,73021,Dug Well,Ariyalur,Ariyalur,Tirumanur,Ponparappi,11.27083333,79.24166667,01-06-1972,,32,12,18,16,67,0,0,146,,6.8,390,130,Pre monsoon,Vellar, Anaivari Odai
52,73024,Dug Well,Ariyalur,Udayarpalayam,Jayankondam,Pappakudi,11.2625,79.50416667,01-06-1972,,268,68,179,27,940,67,0,116,,6.6,2990,950,Pre monsoon,Cauvery, Lower Coleroon
53,73028,Dug Well,Perambalur,Kunnam,Alathur,Nakkaselam,11.15833333,78.725,01-06-1972,,128,127,138,63,470,120,0,384,,8,2410,840,Pre monsoon,Cauvery, Nandiyar - Kulaiyar
54,73029,Dug Well,Perambalur,Perambalur,Perambalur,Velur,11.18333333,78.79166667,01-06-1972,,78,45,40,2,85,26,0,409,,7.8,810,380,Pre monsoon,Cauvery, Nandiyar - Kulaiyar
55,73030,Dug Well,Perambalur,Perambalur,Perambalur,Ayilur,11.17916667,78.8875,01-06-1972,,83,432,33,2,149,26,0,287,,8,890,1985,Pre monsoon,Cauvery, Marudaiyar
56,73032,Dug Well,Perambalur,Kunnam,Alathur,Kilmattur,11.17916667,79.0625,01-06-1972,,61,6,86,2,46,19,0,372,,7.6,630,175,Pre monsoon,Cauvery, Marudaiyar
57,73033,Dug Well,Ariyalur,Ariyalur,Ariyalur,Kadugur,11.16666667,79.15,01-06-1972,,69,42,212,2,138,5,0,287,,7.4,780,345,Pre monsoon,Cauvery, Marudaiyar
58,73042,Dug Well,Perambalur,Kunnam,Alathur,Tenur,11.08611111,78.71666667,01-06-1972,,117,86,138,14,312,96,0,531,,7.5,1870,645,Pre monsoon,Cauvery, Nandiyar - Kulaiyar
59,73043,Dug Well,Thiruchirapalli,Mannachanallur,Mannachanallur,Maniyankurichchi,11.075,78.79166667,01-06-1972,,77,31,55,60,85,22,0,372,,7.7,840,320,Pre monsoon,Cauvery, Nandiyar - Kulaiyar
60,73048,Dug Well,Ariyalur,Udayarpalayam,Jayankondam,Ulliyakkudi,11.07916667,79.22916667,01-06-1972,,42,12,16,8,67,5,0,128,,7.5,390,155,Pre monsoon,Cauvery, Lower Coleroon
61,73052,Dug Well,Karur,Aravakurichi,K.Paramathi,Kuppam,11.01111111,77.92638889,01-06-1972,,61,29,107,4,99,60,0,336,,8.3,980,270,Pre monsoon,Cauvery, Noyel
62,73054,Dug Well,Karur,Karur,Aravakurichi,Thannirpandalpalaiyam,11.00694444,78.09722222,01-06-1972,,78,22,79,6,89,19,0,360,,8.1,900,285,Pre monsoon,Cauvery, Amaravathi
63,73055,Dug Well,Thiruchirapalli,Thottiyam,Thottiyam,Unniyur,11,78.17777778,01-06-1972,,102,20,110,4,138,60,0,439,,7.5,980,335,Pre monsoon,Cauvery, Tirumanimuttar
64,73056,Dug Well,Thiruchirapalli,Thottiyam,Thottiyam,Vendanpatti,10.99777778,78.27777778,01-06-1972,,64,30,30,20,85,26,0,323,,7.6,680,285,Pre monsoon,Cauvery, Karaipottanar
65,73057,Dug Well,Thiruchirapalli,Thottiyam,Thottiyam,Arangur (puthur),11,78.35694444,01-06-1972,,68,56,386,4,262,240,0,622,,7.7,2110,400,Pre monsoon,Cauvery, Karaipottanar
66,73060,Dug Well,Thiruchirapalli,Turaiyur,Turaiyur,Kurikkarankulam,10.99027778,78.62638889,01-06-1972,,109,15,30,10,82,5,0,275,,7.7,740,335,Pre monsoon,Cauvery, Nandiyar - Kulaiyar
67,73061,Dug Well,Thiruchirapalli,Mannachanallur,Mannachanallur,Talutalaippatti,10.99166667,78.72916667,01-06-1972,,70,24,37,6,57,19,0,366,,7.8,660,275,Pre monsoon,Cauvery, Nandiyar - Kulaiyar
68,73062,Dug Well,Thiruchirapalli,Lalgudi,Pullambadi,Reddimangudi,10.99583333,78.825,01-06-1972,,46,6,30,39,67,19,0,238,,8,520,140,Pre monsoon,Cauvery, Nandiyar - Kulaiyar
69,73065,Dug Well,Ariyalur,Ariyalur,Tirumanur,Sathamangalam,11.00416667,79.06666667,01-06-1972,,91,29,16,2,64,10,0,384,,7.6,750,345,Pre monsoon,Cauvery, Nandiyar - Kulaiyar
70,73071,Dug Well,Karur,Karur,Thanthoni,Kaliyappagoundanur,10.92333333,78.09722222,01-06-1972,,94,33,59,8,98,34,0,397,,8.2,900,370,Pre monsoon,Cauvery, Amaravathi
71,73072,Dug Well,Karur,Krishnarayapuram,Krishnarayapuram,Valayalkaranputhur,10.92083333,78.19166667,01-06-1972,,51,38,101,41,131,48,0,482,,7.4,1130,285,Pre monsoon,Cauvery, Amaravathi
72,73074,Dug Well,Karur,Krishnarayapuram,Krishnarayapuram,Thaliyampatti,10.90972222,78.37777778,01-06-1972,,56,32,40,12,64,12,0,360,,7.8,670,270,Pre monsoon,Cauvery, Pungar (Upper Coleroon)
73,73076,Dug Well,Thiruchirapalli,Mannachanallur,Mannachanallur,Neyveli,10.90416667,78.625,01-06-1972,,45,40,14,1,35,1,0,65,,7.8,550,275,Pre monsoon,Cauvery, Ayiaar
74,73078,Dug Well,Thiruchirapalli,Lalgudi,Lalgudi,Kilmarimangalam,10.9125,78.80416667,01-06-1972,,268,54,212,57,579,139,0,452,,7.2,2730,890,Pre monsoon,Cauvery, Nandiyar - Kulaiyar
75,73080,Dug Well,Thiruchirapalli,Lalgudi,Pullambadi,Viragalur,10.9125,78.98333333,01-06-1972,,53,27,92,8,92,48,0,354,,7.4,820,245,Pre monsoon,Cauvery, Nandiyar - Kulaiyar
76,73082,Dug Well,Karur,Aravakurichi,Aravakurichi,Nagampalli,10.83111111,77.93333333,01-06-1972,,46,69,198,12,142,77,0,708,,8.6,1520,400,Pre monsoon,Cauvery, Amaravathi
77,73083,Dug Well,Karur,Aravakurichi,Aravakurichi,Thirumanickkampatti,10.83777778,78.00777778,01-06-1972,,140,139,184,24,523,139,0,378,,8.4,2740,920,Pre monsoon,Cauvery, Amaravathi
78,73084,Dug Well,Karur,Karur,Thanthoni,Jellippatti,10.82083333,78.10555556,01-06-1972,,220,92,184,63,559,87,0,299,,8,2900,930,Pre monsoon,Cauvery, Amaravathi
79,73085,Dug Well,Karur,Karur,Thanthoni,Jegadabi,10.84166667,78.16666667,01-06-1972,,456,165,288,74,1120,192,0,323,,8.1,4900,1820,Pre monsoon,Cauvery, Amaravathi
80,73087,Dug Well,Karur,Kulithalai,Kulithalai,Kanakkappillaiyur,10.82361111,78.35416667,01-06-1972,,69,23,29,6,60,10,0,323,,7.9,540,265,Pre monsoon,Cauvery, Pungar (Upper Coleroon)
81,73088,Dug Well,Karur,Kulithalai,Kulithalai,Kalingappatti,10.82916667,78.45694444,01-06-1972,,94,49,55,10,156,26,0,427,,7.6,1030,435,Pre monsoon,Cauvery, Pungar (Upper Coleroon)
82,73090,Dug Well,Thiruchirapalli,Srirangam,Manikandam,Kumaravayalur,10.83055556,78.62222222,01-06-1972,,69,27,62,4,67,26,0,403,,7.5,720,285,Pre monsoon,Cauvery, Pungar (Upper Coleroon)
83,73092A,Dug Well,Thiruchirapalli,Thiruchirapalli,Tiruverumbur,Melaarasangudi,10.82222222,78.81111111,01-06-1972,,57,40,129,4,121,48,0,464,,7.5,1090,305,Pre monsoon,Cauvery, Ponnaniyar
84,73094,Dug Well,Karur,Aravakurichi,Aravakurichi,Puduvadi,10.74055556,77.91388889,01-06-1972,,48,15,28,9,26,0,0,74,,9,1270,180,Pre monsoon,Cauvery, Amaravathi
85,73096,Dug Well,Karur,Krishnarayapuram,Kadavur,Kannimarpalaiyam(kadavur),10.73611111,78.27777778,01-06-1972,,50,20,16,4,67,5,0,201,,7.8,470,205,Pre monsoon,Cauvery, Pungar (Upper Coleroon)
86,73097,Dug Well,Karur,Kulithalai,Kulithalai,Kannimarpalayam,10.74444444,78.36388889,01-06-1972,,60,20,47,4,25,5,0,366,,7.3,540,230,Pre monsoon,Cauvery, Pungar (Upper Coleroon)
87,73102,Dug Well,Thiruchirapalli,Thiruchirapalli,Tiruverumbur,Tuvagudi,10.74722222,78.82083333,01-06-1972,,80,34,147,18,373,34,0,165,,7.6,1450,340,Pre monsoon,Cauvery, Cauvery Delta
88,73104,Dug Well,Karur,Aravakurichi,Aravakurichi,Paraiyur{paraippatti},10.65861111,77.84444444,01-06-1972,,168,54,138,51,382,67,0,244,,8.3,2050,640,Pre monsoon,Cauvery, Amaravathi
89,73107,Dug Well,Thiruchirapalli,Manapparai,Vaiyampatti,Ponnakkavundanpatti,10.65416667,78.28333333,01-06-1972,,56,34,81,8,128,19,0,311,,8.2,800,280,Pre monsoon,Cauvery, Pungar (Upper Coleroon)
90,73108,Dug Well,Thiruchirapalli,Manapparai,Vaiyampatti,Nallampillaipudur,10.65138889,78.36666667,01-06-1972,,94,103,133,14,305,62,0,525,,7.7,1710,660,Pre monsoon,Cauvery, Ponnaniyar
91,73109,Dug Well,Thiruchirapalli,Manapparai,Manapparai,Chokkampatti,10.65833333,78.45555556,01-06-1972,,98,40,285,4,369,34,0,561,,8,1980,410,Pre monsoon,Cauvery, Ponnaniyar
92,73110,Dug Well,Pudukkottai,Kulathur,Viralimalai,Kalkudi,10.65555556,78.5475,01-06-1972,,148,46,244,4,453,120,0,415,,8,2080,560,Pre monsoon,Cauvery, Ponnaniyar
93,73114,Dug Well,Pudukkottai,Kulathur,Kunnandarkoil,Sengalure,10.6625,78.89,01-06-1972,,64,40,129,63,156,84,0,372,,7.8,1290,325,Pre monsoon,Cauvery, Cauvery Delta
94,73116,Dug Well,Thiruchirapalli,Manapparai,Vaiyampatti,Sekkanam,10.56111111,78.29305556,01-06-1972,,68,16,83,4,78,26,0,354,,7.8,750,235,Pre monsoon,Cauvery, Ponnaniyar
95,73118,Dug Well,Thiruchirapalli,Manapparai,Manapparai,Periamanpatti,10.4,78.45,01-06-1972,,101,55,55,4,195,38,0,378,,7.9,1070,480,Pre monsoon,Agniyar, South Vellar
96,73126,Dug Well,Thiruchirapalli,Manapparai,Vaiyampatti,Ilamanam,10.48888889,78.27222222,01-06-1972,,192,140,138,25,399,125,0,537,,7.5,2620,1055,Pre monsoon,Cauvery, Ponnaniyar
97,73127,Dug Well,Thiruchirapalli,Manapparai,Manapparai,Alagakkavundanpatti,10.47444444,78.345,01-06-1972,,109,21,92,27,156,48,0,439,,7.8,1150,360,Pre monsoon,Cauvery, Ponnaniyar
98,73129,Dug Well,Thiruchirapalli,Manapparai,Marungapuri,Vannarapatti,10.47777778,78.54222222,01-06-1972,,52,127,621,8,913,77,0,470,,8.2,4060,650,Pre monsoon,Agniyar, South Vellar
99,73136,Dug Well,Pudukkottai,Alangudi,Karambakudi,Tittanviduthy,10.475,79.14611111,01-06-1972,,88,12,86,2,227,13,12,104,,8.4,910,270,Pre monsoon,Agniyar, Agniyar
100,73138A,Dug Well,Thiruchirapalli,Manapparai,Marungapuri,Kottaikkariyampatti,10.4125,78.43611111,01-06-1972,,107,35,64,4,202,43,0,311,,7.8,1070,410,Pre monsoon,Agniyar, South Vellar
101,73142,Dug Well,Pudukkottai,Pudukkottai,Pudukkottai,Pudukkottai,10.38972222,78.80333333,01-06-1972,,54,83,115,4,256,22,36,336,,8.5,1330,475,Pre monsoon,Agniyar, South Vellar
102,73144,Dug Well,Pudukkottai,Alangudi,Karambakudi,Mangottai,10.39583333,78.97583333,01-06-1972,,76,12,52,10,117,19,24,165,,8.3,720,240,Pre monsoon,Agniyar, Ambuliyar
103,73145,Dug Well,Pudukkottai,Alangudi,Karambakudi,Pallavaranpathai,10.4375,79.075,01-06-1972,,44,2,12,3,36,5,6,110,,8.3,280,120,Pre monsoon,Agniyar, Agniyar
104,73147,Dug Well,Thiruchirapalli,Manapparai,Marungapuri,Tettur,10.31944444,78.36388889,01-06-1972,,51,52,58,8,60,12,0,482,,7.9,750,340,Pre monsoon,Pambar Kottakaraiyar, Manimuthar
105,73149,Dug Well,Pudukkottai,Thirumayam,Ponnamaravathi,Mekkinipatti,10.31,78.63611111,01-06-1972,,236,85,426,70,940,240,0,494,,7.6,3860,940,Pre monsoon,Agniyar, South Vellar
106,73152,Dug Well,Pudukkottai,Alangudi,Thiruvarankulam,Ayipatti,10.31138889,78.90055556,01-06-1972,,30,2,17,1,21,11,12,98,,8.3,250,85,Pre monsoon,Agniyar, South Vellar
107,73155,Dug Well,Pudukkottai,Thirumayam,Thirumayam,Thunaiyanur,10.22222222,78.72055556,01-06-1972,,46,22,67,8,89,41,0,275,,7.7,590,205,Pre monsoon,Pambar Kottakaraiyar, Pambar
108,73156,Dug Well,Pudukkottai,Thirumayam,Arimalam,Kannankarakudy,10.22222222,78.79444444,01-06-1972,,58,38,115,16,220,34,0,360,,7.8,1150,300,Pre monsoon,Pambar Kottakaraiyar, Pambar
109,73157,Dug Well,Pudukkottai,Thirumayam,Arimalam,Keelapanaiyur,10.22916667,78.89,01-06-1972,,58,7,18,0,53,5,0,183,,7.7,450,175,Pre monsoon,Agniyar, South Vellar
110,43026A,Dug Well,Ariyalur,Udayarpalayam,Jayankondam,Kuruvalapperkovil,11.205,79.44833333,06-01-1972,3,24,24,264,179,348,33,60,403,,8.1,2000,160,Pre monsoon,Cauvery, Lower Coleroon
111,83019,Dug Well,Dindigul,Natham,Natham,Parali,10.14833333,78.18472222,06-01-1972,,30,10,17,11,25,5,18,122,,8.4,420,115,Pre monsoon,Vaigai, Sathaiyar
112,83020,Dug Well,Dindigul,Nilakkottai,Alanganallur,Valayapatti,10.15777778,78.11611111,06-01-1972,,68,45,57,51,42,7,60,463,,8.3,1100,355,Pre monsoon,Vaigai, Sathaiyar
113,83022,Dug Well,Dindigul,Nilakkottai,Nilakkottai,Nilakkottai,10.16388889,77.85416667,06-01-1972,38,92,90,184,8,383,60,42,250,,8.2,2100,600,Pre monsoon,Vaigai, Sirumalaiyar
114,83024,Dug Well,Dindigul,Natham,Natham,Samudrapatti,10.20833333,78.28833333,06-01-1972,,32,88,276,20,312,67,54,464,,8.5,2100,440,Pre monsoon,Pambar Kottakaraiyar, Manimuthar
115,83033,Dug Well,Dindigul,Vedasandur,Vedasandur,Kovilur,10.61666667,78.08333333,06-01-1972,,24,40,38,2,11,3,22,64,,8.4,610,225,Pre monsoon,Cauvery, Amaravathi
116,83036,Dug Well,Dindigul,Dindigul,Reddiarchatram,Puduchatram,10.46944444,77.79583333,06-01-1972,13,86,53,18,3,57,42,54,244,,8,950,435,Pre monsoon,Cauvery, Amaravathi
117,83037,Dug Well,Dindigul,Palani,Oddanchatram,Chatrapatti,10.46833333,77.65972222,06-01-1972,18,72,40,25,1,78,24,12,256,,7.9,810,345,Pre monsoon,Cauvery, Amaravathi
118,83039,Dug Well,Dindigul,Palani,Pappampatti,Pappampatti,10.4525,77.40555556,06-01-1972,25,98,26,25,5,82,7,30,201,,8.1,890,350,Pre monsoon,Cauvery, Amaravathi
119,83044,Dug Well,Dindigul,Palani,Oddanchatram,Odaipatti,10.58083333,77.77222222,06-01-1972,,42,29,40,4,43,17,24,220,,7.9,600,225,Pre monsoon,Cauvery, Amaravathi
120,83092,Dug Well,Dindigul,Nilakkottai,Vadipatti,Nirettan,10.05,77.9675,06-01-1972,,52,32,51,15,62,31,36,244,,8.3,760,260,Pre monsoon,Vaigai, Sirumalaiyar
121,83093,Dug Well,Dindigul,Nilakkottai,Alanganallur,Ayyar,10.07055556,78.08333333,06-01-1972,,60,104,127,20,270,48,48,451,,8.6,1800,580,Pre monsoon,Vaigai, Sathaiyar
122,83504,Dug Well,Dindigul,Dindigul,Sanarpatti,Sanarpatti,10.28138889,78.07083333,06-01-1972,,42,41,87,1,67,18,42,366,,7.9,990,275,Pre monsoon,Cauvery, Amaravathi
123,83505,Dug Well,Dindigul,Natham,Natham,Kalvelipatti,10.21333333,78.21722222,06-01-1972,3,42,29,158,9,71,43,54,403,,,1150,225,Pre monsoon,Pambar Kottakaraiyar, Manimuthar
124,83517,Dug Well,Dindigul,Natham,Natham,Manakattur,10.34583333,78.24027778,06-01-1972,2,46,73,63,3,64,28,30,458,,,1100,415,Pre monsoon,Pambar Kottakaraiyar, Manimuthar
125,83524,Dug Well,Dindigul,Palani,Palani,Neikaranpatti,10.45,77.4625,06-01-1972,,44,17,21,2,11,19,18,195,,7.9,500,180,Pre monsoon,Cauvery, Amaravathi
126,83525,Dug Well,Dindigul,Palani,Thoppampatti,Thalaiyuthu,10.51666667,77.43888889,06-01-1972,,84,23,24,3,99,5,18,268,,7.9,980,305,Pre monsoon,Cauvery, Amaravathi
127,83529,Dug Well,Dindigul,Palani,Oddanchatram,Thankachiammapatti,10.52361111,77.74444444,06-01-1972,41,74,34,57,7,131,14,6,98,,7.9,950,325,Pre monsoon,Cauvery, Amaravathi
128,83537,Dug Well,Dindigul,Palani,Palani,Midapadi,10.55833333,77.4,06-01-1972,20,72,37,32,7,92,13,24,195,,7.6,830,330,Pre monsoon,Cauvery, Amaravathi
